HRLM,TC,GSR,INCLY,INCLZ,INCLX
17,32.375,505,-0.0680093383,86.6288757324,-3.4250259399
17,32.375,505,-0.0272748112,86.620513916,-3.5611693859
17,32.4375,505,-0.2445039033,86.4760742187,-3.6212654113
17,32.25,505,-0.0542150974,86.4239807128,-3.5466628074
17,32.375,505,0.2044850587,86.4930801391,-3.5136258602
17,32.375,511,-0.0136101794,86.5319976806,-3.6998045444
17,32.5625,505,-0.2728598117,86.3357696533,-3.5114290714
17,32.4375,505,-0.2056195974,86.5281906127,-3.5449709892
17,32.375,505,-0.2316395044,86.4931030273,-3.6155502796
17,32.3125,505,0.1908839416,86.4250488281,-3.4208664894
17,32.4375,505,-0.4222506046,86.5987548828,-3.3960974216
17,32.375,504,0.4089325904,86.624961853,-3.6377909183
17,32.375,505,-0.2460018634,86.3995285034,-3.4385783672
17,32.375,505,-0.340926218,86.5901718139,-3.7371287345
17,32.5,505,-0.0954065036,86.3073043823,-3.4600703716
17,32.375,505,-0.2586678981,86.5758972167,-3.8123914718
17,32.5625,505,-0.1355724334,86.2308425903,-3.6045212745
17,32.4375,512,0.1500896072,86.4379959106,-3.5246691703
17,32.3125,505,-0.24480412,86.5124664306,-3.606997013
17,32.4375,511,-0.0136023294,86.4386215209,-3.3914425373
17,32.4375,504,-0.0136671972,86.6541748046,
17,32.3125,505,,,
17,32.375,505,,,
17,32.375,506,,,
17,32.5,505,,,
